cancer_code,source_review_status,source_locator,tmb_assay,source_review_notes,reviewed_on,reference,source_title,legacy_value
HNSC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
RCC,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
KICH,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",targeted_panel,"Read Chalmers full text and Additional file 3 Table S1. No exact matching population/median row recovered: chromophobe is absent from the >50-specimen table. Legacy estimate remains unverified, not a published median.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",
KIRC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
KIRP,source_checked,Additional file 3 Table S1; Sheet1!A83:C83; kidney renal papillary carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: kidney renal papillary carcinoma; 152 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",1.3
LAML,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
LGG,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
LIHC,source_checked,Additional file 3 Table S1; Sheet1!A57:C57; liver hepatocellular carcinoma (hcc),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: liver hepatocellular carcinoma (hcc); 602 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",4.0
NSCLC,source_checked,"Results, TMB comparison across cohorts",clinical_targeted_panel,Median 8 in each treatment-naive and treatment-experienced group; 970 annotated specimens in total.,2026-09-15,PMID:33889505,Effect of prior therapy on tumor mutational burden in NSCLC.,
LUAD,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
LUSC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
MESO,source_checked,Additional file 3 Table S1; Sheet1!A136:C136; pleura mesothelioma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: pleura mesothelioma; 414 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Pleural cohort only; peritoneal n=135 also has median 1.8; cohorts are not pooled.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",1.8
OV,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
PAAD,source_checked,Additional file 3 Table S1; Sheet1!A129:C129; pancreas ductal adenocarcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: pancreas ductal adenocarcinoma; 2483 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",2.1
PCPG,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",targeted_panel,"Read Chalmers full text and Additional file 3 Table S1. No exact matching population/median row recovered: soft-tissue paraganglioma median 1.7 (n=53) does not establish the complete pheochromocytoma/paraganglioma union median 0.5. Legacy estimate remains unverified, not a published median.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",
PRAD,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
READ,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
SKCM,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
STAD,source_checked,Additional file 3 Table S1; Sheet1!A30:C30; stomach adenocarcinoma intestinal type,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: stomach adenocarcinoma intestinal type; 58 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Intestinal-type subset only; not an all-histology or MSI-stratified gastric median.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",5.0
TGCT,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",targeted_panel,"Read Chalmers full text and Additional file 3 Table S1. No exact matching population/median row recovered: nonseminoma median 2.7 (n=71) does not establish an all-germ-cell median 0.5. Legacy estimate remains unverified, not a published median.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",
THCA,source_checked,Additional file 3 Table S1; Sheet1!A132:C132; thyroid papillary carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: thyroid papillary carcinoma; 350 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.4
THYM_EPITHELIAL,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,PMID:35749302,Comprehensive Genomic Profiling of 274 Thymic Epithelial Tumors Unveils Oncogenic Pathways and Predictive Biomarkers.,
THYM,source_checked,Additional file 3 Table S1; Sheet1!A160:C160; thymus thymoma (nos),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: thymus thymoma (nos); 108 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.5
UCEC,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
UCS,source_checked,Additional file 3 Table S1; Sheet1!A48:C48; uterus carcinosarcoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: uterus carcinosarcoma; 245 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",2.5
UVM,source_checked,"Table 1, UVM; Methods, TMB and indel burden",WES_nonsynonymous_coding,"TCGA MC3 UVM cohort; median 0.34 (IQR 0.26-0.45) mut/Mb, n=80. Nonsynonymous coding substitutions and indels divided by 38 Mb. Restores the old number with the correct source DOI 10.21037/atm.2019.10.116.",2026-09-15,PMID:31930041,Tumor mutational and indel burden: a systematic pan-cancer evaluation as prognostic biomarkers.,0.34
SARC_LMS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_DDLPS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_UPS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_MYXFIB,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_SYN,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_MPNST,source_checked,Additional file 3 Table S1; Sheet1!A109:C109; soft tissue malignant peripheral nerve sheath tumor (mpnst),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: soft tissue malignant peripheral nerve sheath tumor (mpnst); 134 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",2.5
SARC_OS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
SARC_EWS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
SARC_RMS_ERMS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
SARC_RMS_ARMS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
SARC_CHON,source_checked,Additional file 3 Table S1; Sheet1!A146:C146; bone chondrosarcoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: bone chondrosarcoma; 93 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Bone cohort only; separate soft-tissue cohort n=124 also has median 1.7; no patient-level pooled median calculated.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.9
SARC_CHOR,needs_source_review,,,Cited paper is a review; trace the value to its original cohort and verify the median/assay before promoting provenance.,2026-09-15,PMID:38892063,Chordoma: Genetics and Contemporary Management.,
NBL,source_checked,Abstract; Results; Supplementary Table 1,WES_WGS_total_exonic_including_synonymous,"Pugh 2013 reports median total exonic mutation frequency 0.60/Mb in 240 high-risk neuroblastomas; includes synonymous mutations. Published nonsilent median is 0.48/Mb. This is a high-risk cohort, not an all-risk population estimate; do not equate total exonic and nonsynonymous TMB.",2026-09-16,PMID:23334666,The genetic landscape of high-risk neuroblastoma.,
WILMS,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
RT,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
ATRT,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
MBL,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
RB,source_checked,Results 2.2 Somatic Mutational Burden and Mutational Signatures; Figure 1,WGS_genome_wide_substitutions,Published mean genome-wide substitution density 0.085/Mb in 21 retinoblastomas (average 275 substitutions per tumor). WGS substitutions only; excludes indels and is not nonsynonymous coding TMB. No population median reported.,2026-09-16,PMID:33670346,Whole-Genome Sequencing of Retinoblastoma Reveals the Diversity of Rearrangements Disrupting &lt;i&gt;RB1&lt;/i&gt; and Uncovers a Treatment-Related Mutational Signature.,0.085
HEPB,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
MM,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
CLL,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,WES_nonsilent_coding,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23770567,Mutational heterogeneity in cancer and the search for new cancer-associated genes.,
MCL,source_checked,Additional file 3 Table S1; Sheet1!A68:C68; lymph node lymphoma mantle cell,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: lymph node lymphoma mantle cell; 75 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",1.0
FL,source_checked,"Results 3.2, TMB and clinical characteristics",targeted_panel,"5.05 mut/Mb, n=119; Oncomine 409-gene panel; replaces unsupported 1.35.",2026-09-15,DOI:10.3390/cancers18050737,Tumor Mutational Burden as a Prognostic Biomarker in Follicular Lymphoma.,1.35
HL,rejected_population_median,Source identity/abstract/full text; see review notes,,"PMID30108156 reports clinical-panel TMB in 34 patients, including 23 with TMB >=6; it does not support the approximate WES median of 2.0.",2026-09-15,PMID:30108156,Comprehensive Genomic Profiling of Hodgkin Lymphoma Reveals Recurrently Mutated Genes and Increased Mutation Burden.,2.0
BL,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23143597,The genetic landscape of mutations in Burkitt lymphoma.,
B_ALL,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
T_ALL,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
MDS,source_checked,Additional file 3 Table S1; Sheet1!A168:C168; bone marrow myelodysplastic syndrome (mds),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: bone marrow myelodysplastic syndrome (mds); 513 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.3
MPN,source_checked,Additional file 3 Table S1; Sheet1!A166:C166; bone marrow myeloproliferative neoplasm (mpn),targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: bone marrow myeloproliferative neoplasm (mpn); 138 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",
CML,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,,,
CTCL,rejected_population_median,Source identity/abstract/full text; see review notes,,"The cited PMID33574607 is a general intratumoral-heterogeneity review, not the attributed CTCL cohort.",2026-09-15,PMID:33574607,Intratumoral heterogeneity in cancer progression and response to immunotherapy.,3.0
NET_PANCREAS,source_checked,"Results, primary-localization comparison",WGS_genome_wide,Pancreatic advanced NET median 1.35; genome-wide burden is not coding-exome TMB.,2026-09-15,PMID:34326338,The genomic landscape of 85 advanced neuroendocrine neoplasms reveals subtype-heterogeneity and potential therapeutic targets.,1.9
NEN,audited_gap,"Results, mutational landscape",WGS_genome_wide,"Full text reports advanced NET median 1.09 (n=69) and advanced NEC median 5.45 (n=16), genome-wide WGS. Broad ontology aggregate remains blank because this selected advanced cohort does not cover its full site/stage scope; not a mean-versus-median rejection.",2026-09-15,PMID:34326338,The genomic landscape of 85 advanced neuroendocrine neoplasms reveals subtype-heterogeneity and potential therapeutic targets.,
NET,audited_gap,"Results, mutational landscape",WGS_genome_wide,"Full text reports advanced NET median 1.09 (n=69) and advanced NEC median 5.45 (n=16), genome-wide WGS. Broad ontology aggregate remains blank because this selected advanced cohort does not cover its full site/stage scope; not a mean-versus-median rejection.",2026-09-15,PMID:34326338,The genomic landscape of 85 advanced neuroendocrine neoplasms reveals subtype-heterogeneity and potential therapeutic targets.,
NEC,audited_gap,"Results, mutational landscape",WGS_genome_wide,"Full text reports advanced NET median 1.09 (n=69) and advanced NEC median 5.45 (n=16), genome-wide WGS. Broad ontology aggregate remains blank because this selected advanced cohort does not cover its full site/stage scope; not a mean-versus-median rejection.",2026-09-15,PMID:34326338,The genomic landscape of 85 advanced neuroendocrine neoplasms reveals subtype-heterogeneity and potential therapeutic targets.,
NEC_LUNG,audited_gap,,,"Inventory/metadata audit completed; exact statistic, cohort and assay require source-level revalidation.",2026-09-15,PMID:26168399;PMID:29535388,Comprehensive genomic profiles of small cell lung cancer.; Integrative genomic profiling of large-cell neuroendocrine carcinomas reveals distinct subtypes of high-grade neuroendocrine lung tumors.,
SCLC,needs_source_review,Results: Recurrent somatic alterations in SCLC; Supplementary Tables 1-3; https://pmc.ncbi.nlm.nih.gov/articles/PMC4861069/,WGS_nonsynonymous_coding,"Source confirms 8.62 nonsynonymous mutations/Mb and 110 WGS tumors, but does not explicitly name the statistic. Inspected original supplement: Table 2 gives sequencing coverage percentages, Table 3 variant calls; no directly labeled sample per-Mb rates/callable coding bases recovered. Rounded 8.6 remains needs_source_review as a median.",2026-09-16,PMID:26168399,Comprehensive genomic profiles of small cell lung cancer.,
NEC_MERKEL,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:31399473,The Genomic Landscape of Merkel Cell Carcinoma and Clinicogenomic Biomarkers of Response to Immune Checkpoint Inhibitor Therapy.,
MTC,source_checked,Additional file 3 Table S1; Sheet1!A124:C124; thyroid medullary carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: thyroid medullary carcinoma; 96 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",1.0
ADCC,source_checked,Additional file 3 Table S1; Sheet1!A128:C128; salivary gland adenoid cystic carcinoma,targeted_panel_coding_including_synonymous,"Chalmers Additional file 3 Table S1: salivary gland adenoid cystic carcinoma; 184 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",2026-09-15,PMID:28420421,"Analysis of 100,000 human cancer genomes reveals the landscape of tumor mutational burden.",0.31
NPC,needs_source_review,,,Cited paper is a review; trace the value to its original cohort and verify the median/assay before promoting provenance.,2026-09-15,PMID:36135044,Nasopharyngeal Carcinoma Progression: Accumulating Genomic Instability and Persistent Epstein-Barr Virus Infection.,
NUTM,source_checked,Abstract Results; molecular characterization of the registry cohort,heterogeneous_clinical_panels,"NUT carcinoma registry: median 1.0 mut/Mb (range 0-16) among 71 with known TMB, from 116 total patients. Heterogeneous clinical NGS assays; replaces unsupported attribution to a three-case series.",2026-09-15,PMID:40704901,Molecular Characterization of NUT Carcinoma: A Report from the NUT Carcinoma Registry.,1.0
BRCA_Basal,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23000897,Comprehensive molecular portraits of human breast tumours.,
BRCA_HER2,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23000897,Comprehensive molecular portraits of human breast tumours.,
BRCA_LumB,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23000897,Comprehensive molecular portraits of human breast tumours.,
BRCA_LumA,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:23000897,Comprehensive molecular portraits of human breast tumours.,
BRCA_Normal,rejected_population_median,Source identity/abstract/full text; see review notes,,TCGA-Breast excluded the eight normal-like samples from subsequent subtype analyses; no normal-like median of 1.0 was established.,2026-09-15,PMID:23000897,Comprehensive molecular portraits of human breast tumours.,1.0
HNSC_HPVneg,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:25631445,Comprehensive genomic characterization of head and neck squamous cell carcinomas.,
HNSC_HPVpos,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. Source metadata available; review the primary figure/table or supplement before use as a published median.",2026-09-15,PMID:25631445,Comprehensive genomic characterization of head and neck squamous cell carcinomas.,
SARC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_LPS_UNSPEC,needs_source_review,,,"Citation identity reviewed; exact population, median and assay denominator remain unverified. DOI source requires primary-table verification.",2026-09-15,DOI:10.1016/j.cell.2017.10.014,Comprehensive and Integrated Genomic Characterization of Adult Soft Tissue Sarcomas.,
SARC_RMS_PRMS,needs_source_review,,,Pediatric pan-cancer source does not establish an adult pleomorphic or separate spindle/sclerosing RMS median; subtype proxy requires replacement.,2026-09-15,PMID:29489754,The landscape of genomic alterations across childhood cancers.,
